slang,meaning
lol,laughing out loud
asap,as soon as possible
fyi,for your information
g2g,got to go
fb,facebook
msg,message
ttyl,talk to you later
imo,in my opinion
hifw,how i feel when
tfw,that feeling when
mfw,my face when
mrw,my reaction when
ifyp,i feel your pain
tntl,trying not to laugh
jk,just kidding
idc,i don’t care
ily,i love you
imu,i miss you
adih,another day in hell
zzz,sleeping, bored, tired
wywh,wish you were here
time,tears in my eyes
bae,before anyone else
ssdd,same stuff, different day
qq,crying
fimh,forever in my heart
bsaaw,big smile and a wink
bwl,bursting with laughter
lmao,laughing my a** off
bff,best friends forever
csl,can’t stop laughing
imoimho,in my opinion/in my humble opinion
omdb,over my dead body
nth,nice to have
pov,point of view
tbh,to be honest
ftw,for the win
wtf,what the fuck
ftl,for the loss
ynk,you never know
smh,shaking my head
srsly,seriously
ygtr,you got that right
gmta,great minds think alike
